Time_s,S0,S1,S2,S3
0.118394,0.045105,-0.173492,-0.710205,-0.687775
0.119057,0.041229,-0.323669,-0.631714,-0.705383
0.119718,0.039612,-0.307892,-0.638916,-0.710663
0.120380,0.045258,-0.107300,-0.734833,-0.670044
0.121049,0.033508,-0.240356,-0.569061,-0.792847
0.121809,0.040039,-0.235168,-0.728333,-0.648407
0.122911,0.034515,-0.226074,-0.710114,-0.667572
0.124018,0.035614,-0.105682,-0.641754,-0.765472
0.125469,0.040680,-0.130157,-0.751160,-0.652985
0.126677,0.035126,-0.239594,-0.789612,-0.566681
0.127787,0.036285,-0.223236,-0.718750,-0.660736
0.128879,0.039185,-0.259186,-0.711029,-0.655975
0.130258,0.043671,-0.164581,-0.721527,-0.675110
0.131151,0.040253,-0.187225,-0.636993,-0.748871
0.132077,0.039062,-0.110352,-0.652588,-0.751190
0.132726,0.038940,-0.298126,-0.706573,-0.643219
0.133402,0.035614,-0.115997,-0.675262,-0.731964
0.134100,0.036957,-0.070007,-0.767517,-0.640015
0.134771,0.042480,-0.253113,-0.705780,-0.664612
0.135471,0.040894,-0.099121,-0.735687,-0.671814
0.136266,0.041321,0.006989,-0.759369,-0.654236
0.137139,0.043243,-0.110657,-0.714905,-0.691498
0.138661,0.050079,-0.120880,-0.706970,-0.701477
0.140318,0.040741,-0.190613,-0.643524,-0.746643
0.141686,0.048065,-0.215668,-0.616425,-0.757660
0.142740,0.048096,-0.072266,-0.695831,-0.716736
0.143446,0.038971,-0.134460,-0.643890,-0.757080
0.144168,0.045013,-0.154480,-0.691071,-0.707336
0.144893,0.045502,-0.153870,-0.647797,-0.751038
0.145860,0.047241,-0.129852,-0.651184,-0.748077
0.146579,0.048065,-0.293121,-0.515350,-0.808441
0.147256,0.045746,-0.135101,-0.627045,-0.772186
0.148017,0.048370,-0.172424,-0.657104,-0.735657
0.148701,0.044128,-0.207489,-0.583008,-0.790466
0.149418,0.040710,-0.186340,-0.483521,-0.858521
0.150143,0.040100,-0.137634,-0.626160,-0.768372
0.150935,0.044189,-0.216675,-0.600006,-0.775024
0.151635,0.044678,-0.172150,-0.618866,-0.768463
0.152413,0.045563,-0.177429,-0.616943,-0.768158
0.153091,0.043732,-0.088257,-0.724792,-0.686981
0.153746,0.044861,-0.071442,-0.579620,-0.814301
0.154519,0.047638,-0.242432,-0.589020,-0.772736
0.155219,0.043823,-0.142883,-0.726898,-0.676483
0.156059,0.046722,-0.154907,-0.692169,-0.705902
0.156897,0.051270,-0.167267,-0.629913,-0.759796
0.157678,0.050415,-0.106506,-0.646210,-0.756348
0.160613,0.044647,-0.173309,-0.615540,-0.768951
0.164341,0.044708,-0.104523,-0.717224,-0.690582
0.165362,0.043854,-0.246887,-0.608795,-0.755249
0.167283,0.041595,-0.117676,-0.595612,-0.799042
0.169735,0.044525,-0.209503,-0.622559,-0.758911
0.170497,0.040436,-0.257996,-0.541107,-0.805939
0.171194,0.037781,-0.080505,-0.687805,-0.721954
0.171845,0.044800,-0.104095,-0.616333,-0.781647
0.172511,0.047882,-0.243317,-0.607300,-0.756714
0.173146,0.041718,-0.241241,-0.532898,-0.811432
0.173870,0.043152,-0.156799,-0.593231,-0.790283
0.174616,0.048187,-0.224335,-0.566559,-0.796600
0.175534,0.045532,-0.220001,-0.578003,-0.786011
0.176391,0.039642,-0.092621,-0.571777,-0.817139
0.177155,0.042786,-0.038483,-0.730774,-0.684631
0.177974,0.041840,-0.252289,-0.836365,-0.493195
0.179139,0.040863,-0.237671,-0.717499,-0.659210
0.179870,0.040833,-0.270111,-0.750000,-0.607147
0.180686,0.040955,-0.310272,-0.625000,-0.718750
0.181467,0.040619,-0.228516,-0.678741,-0.699097
0.182142,0.040344,-0.212677,-0.710419,-0.674225
0.182877,0.040436,-0.253235,-0.768250,-0.594421
0.183649,0.036987,-0.173004,-0.670898,-0.723633
0.184379,0.038757,-0.073120,-0.747650,-0.662750
0.185030,0.027893,-0.223694,-0.657898,-0.726990
0.185735,0.041016,-0.292511,-0.689728,-0.664032
0.186585,0.039978,-0.057098,-0.826782,-0.561035
0.187338,0.039307,-0.177979,-0.635620,-0.754242
0.188104,0.035645,-0.371155,-0.631470,-0.685577
0.189040,0.042725,-0.362671,-0.727478,-0.583710
0.189823,0.046295,-0.341919,-0.701599,-0.626495
0.190661,0.043182,-0.219177,-0.736176,-0.642578
0.191333,0.037872,-0.332550,-0.708740,-0.626221
0.192159,0.036591,-0.285736,-0.694305,-0.662872
